name,open,pre_close,price,high,low,bid,ask,volume,amount,b1_v,b1_p,b2_v,b2_p,b3_v,b3_p,b4_v,b4_p,b5_v,b5_p,a1_v,a1_p,a2_v,a2_p,a3_v,a3_p,a4_v,a4_p,a5_v,a5_p,date,time,code
宏图高科,11.98,11.99,11.78,12.06,11.5,11.77,11.78,11301406,132642916.0,405,11.77,103,11.76,369,11.75,127,11.74,13,11.73,506,11.78,371,11.79,460,11.8,250,11.81,155,11.83,2017-04-20,14:46:00,600122
宏图高科,11.98,11.99,11.78,12.06,11.5,11.77,11.78,11301406,132642916.0,405,11.77,103,11.76,369,11.75,127,11.74,13,11.73,516,11.78,371,11.79,460,11.8,250,11.81,155,11.83,2017-04-20,14:46:03,600122
宏图高科,11.98,11.99,11.78,12.06,11.5,11.77,11.78,11306306,132700597.0,364,11.77,103,11.76,369,11.75,127,11.74,13,11.73,508,11.78,371,11.79,460,11.8,250,11.81,155,11.83,2017-04-20,14:46:10,600122
宏图高科,11.98,11.99,11.78,12.06,11.5,11.77,11.78,11306306,132700597.0,364,11.77,103,11.76,369,11.75,127,11.74,13,11.73,508,11.78,371,11.79,460,11.8,250,11.81,155,11.83,2017-04-20,14:46:12,600122
宏图高科,11.98,11.99,11.78,12.06,11.5,11.77,11.78,11306306,132700597.0,364,11.77,103,11.76,369,11.75,127,11.74,13,11.73,517,11.78,403,11.79,460,11.8,250,11.81,155,11.83,2017-04-20,14:46:15,600122
宏图高科,11.98,11.99,11.77,12.06,11.5,11.77,11.78,11316306,132818297.0,264,11.77,103,11.76,369,11.75,127,11.74,13,11.73,517,11.78,403,11.79,460,11.8,250,11.81,155,11.83,2017-04-20,14:46:19,600122
宏图高科,11.98,11.99,11.78,12.06,11.5,11.77,11.78,11316406,132819475.0,264,11.77,103,11.76,369,11.75,127,11.74,13,11.73,486,11.78,403,11.79,460,11.8,250,11.81,155,11.83,2017-04-20,14:46:22,600122
宏图高科,11.98,11.99,11.77,12.06,11.5,11.77,11.78,11316906,132825360.0,259,11.77,103,11.76,369,11.75,127,11.74,13,11.73,486,11.78,403,11.79,460,11.8,250,11.81,155,11.83,2017-04-20,14:46:25,600122
宏图高科,11.98,11.99,11.77,12.06,11.5,11.77,11.78,11332206,133005445.0,110,11.77,103,11.76,369,11.75,127,11.74,13,11.73,482,11.78,403,11.79,460,11.8,250,11.81,155,11.83,2017-04-20,14:46:28,600122
宏图高科,11.98,11.99,11.77,12.06,11.5,11.77,11.78,11335706,133046645.0,80,11.77,103,11.76,369,11.75,127,11.74,13,11.73,477,11.78,403,11.79,461,11.8,250,11.81,155,11.83,2017-04-20,14:46:39,600122
